line_id,from,to,subsea,exclude,Capacity_GW,model_start_year,model_first_expansion_year,build_rate,cost
TRNECUXXPERXX,ECUXX,PERXX,FALSE,FALSE,0.1,2020,2030,0,1088
TRNEGYXXGRCXX,EGYXX,GRCXX,TRUE,FALSE,0,2030,2030,0,1226
TRNEGYXXISRXX,EGYXX,ISRXX,FALSE,FALSE,0,2030,2030,0,761
TRNEGYXXJORXX,EGYXX,JORXX,TRUE,FALSE,0.3,2020,2030,0,866
TRNEGYXXLBYXX,EGYXX,LBYXX,FALSE,FALSE,0.24,2020,2030,0,1352
TRNEGYXXSAUXX,EGYXX,SAUXX,TRUE,FALSE,0,2030,2030,0,1526
TRNEGYXXSDNXX,EGYXX,SDNXX,FALSE,FALSE,0.3,2020,2030,0,1301
TRNERIXXETHXX,ERIXX,ETHXX,FALSE,TRUE,0,2030,2030,0,892
TRNERIXXSAUXX,ERIXX,SAUXX,TRUE,TRUE,0,2030,2030,0,1339
TRNERIXXSDNXX,ERIXX,SDNXX,FALSE,TRUE,0,2030,2030,0,884
TRNERIXXSOMXX,ERIXX,SOMXX,FALSE,TRUE,0,2030,2030,0,1307
TRNERIXXYEMXX,ERIXX,YEMXX,TRUE,TRUE,0,2030,2030,0,907
TRNESHXXMARXX,ESHXX,MARXX,FALSE,FALSE,0.8,2020,2030,0,976
TRNESHXXMRTXX,ESHXX,MRTXX,FALSE,FALSE,0,2030,2030,0,1046
TRNESPXXFRAXX,ESPXX,FRAXX,FALSE,FALSE,2.8,2020,2030,0,1048
TRNESPXXMARXX,ESPXX,MARXX,TRUE,FALSE,1.4,2020,2030,0,1064
TRNESPXXPRTXX,ESPXX,PRTXX,FALSE,FALSE,2.7,2020,2030,0,804
TRNESTXXFINXX,ESTXX,FINXX,TRUE,FALSE,1.016,2020,2030,0,628
TRNESTXXLVAXX,ESTXX,LVAXX,FALSE,FALSE,0,2030,2030,0,611
TRNESTXXRUSNW,ESTXX,RUSNW,FALSE,FALSE,0,2030,2030,0,670
TRNETHXXKENXX,ETHXX,KENXX,FALSE,FALSE,2,2020,2030,0,1099
TRNETHXXSDNXX,ETHXX,SDNXX,FALSE,FALSE,4,2020,2030,0,1018
TRNFINXXNORXX,FINXX,NORXX,FALSE,FALSE,0,2030,2030,0,930
TRNFINXXRUSNW,FINXX,RUSNW,FALSE,FALSE,0,2030,2030,0,641
TRNFINXXSWEXX,FINXX,SWEXX,FALSE,FALSE,2.4,2020,2030,0,757
TRNFRAXXGBRXX,FRAXX,GBRXX,TRUE,FALSE,3,2020,2030,0,779
TRNFRAXXIRLXX,FRAXX,IRLXX,TRUE,FALSE,0,2030,2030,0,1031
TRNFRAXXITAXX,FRAXX,ITAXX,FALSE,FALSE,3.1,2020,2030,0,1071
TRNFRAXXLUXXX,FRAXX,LUXXX,FALSE,FALSE,0.38,2020,2030,0,623
TRNGABXXGNQXX,GABXX,GNQXX,FALSE,FALSE,0,2030,2030,0,442
TRNGBRXXIRLXX,GBRXX,IRLXX,FALSE,FALSE,0.63,2020,2030,0,786
TRNGBRXXISLXX,GBRXX,ISLXX,TRUE,FALSE,0,2030,2030,0,1669
TRNGBRXXNLDXX,GBRXX,NLDXX,TRUE,FALSE,1,2020,2030,0,786
TRNGBRXXNORXX,GBRXX,NORXX,TRUE,FALSE,1.4,2020,2030,0,1245
TRNGEOXXRUSSO,GEOXX,RUSSO,FALSE,FALSE,0.95,2020,2030,0,907
TRNGEOXXTURXX,GEOXX,TURXX,FALSE,FALSE,1.05,2020,2030,0,1168
TRNGHAXXTGOXX,GHAXX,TGOXX,FALSE,FALSE,0,2030,2030,0,445
TRNGINXXGNBXX,GINXX,GNBXX,FALSE,FALSE,0,2030,2030,0,688
TRNGINXXLBRXX,GINXX,LBRXX,FALSE,FALSE,0,2030,2030,0,793
TRNGINXXMLIXX,GINXX,MLIXX,FALSE,FALSE,0,2030,2030,0,898
TRNGINXXSENXX,GINXX,SENXX,FALSE,FALSE,0,2030,2030,0,894
TRNGINXXSLEXX,GINXX,SLEXX,FALSE,FALSE,0,2030,2030,0,376
TRNGMBXXSENXX,GMBXX,SENXX,FALSE,TRUE,0,2030,2030,0,440
TRNGNBXXSENXX,GNBXX,SENXX,FALSE,FALSE,0,2030,2030,0,748
TRNGRCXXITAXX,GRCXX,ITAXX,TRUE,FALSE,0.5,2020,2030,0,1187
TRNGRCXXLBYXX,GRCXX,LBYXX,TRUE,FALSE,0,2030,2030,0,1220
TRNGRCXXMKDXX,GRCXX,MKDXX,FALSE,FALSE,1.1,2020,2030,0,797
TRNGRCXXTURXX,GRCXX,TURXX,FALSE,FALSE,0.66,2020,2030,0,830
TRNGTMXXHNDXX,GTMXX,HNDXX,FALSE,FALSE,0.3,2020,2030,0,736
TRNGTMXXMEXXX,GTMXX,MEXXX,FALSE,FALSE,0.2,2020,2030,0,1051
TRNGTMXXSLVXX,GTMXX,SLVXX,FALSE,FALSE,0.3,2020,2030,0,454
TRNGUYXXSURXX,GUYXX,SURXX,FALSE,TRUE,0,2030,2030,0,708
TRNGUYXXVENXX,GUYXX,VENXX,FALSE,TRUE,0,2030,2030,0,1045
TRNHNDXXNICXX,HNDXX,NICXX,FALSE,FALSE,0.3,2020,2030,0,550
TRNHNDXXSLVXX,HNDXX,SLVXX,FALSE,FALSE,0.3,2020,2030,0,518
TRNHRVXXHUNXX,HRVXX,HUNXX,FALSE,FALSE,1.7,2020,2030,0,641
TRNHRVXXMNEXX,HRVXX,MNEXX,FALSE,FALSE,0,2030,2030,0,784
TRNHRVXXSRBXX,HRVXX,SRBXX,FALSE,FALSE,0.5,2020,2030,0,745
TRNHRVXXSVNXX,HRVXX,SVNXX,FALSE,FALSE,2,2020,2030,0,364
TRNHUNXXROUXX,HUNXX,ROUXX,FALSE,FALSE,1.1,2020,2030,0,866
TRNHUNXXSRBXX,HUNXX,SRBXX,FALSE,FALSE,0.75,2020,2030,0,667
TRNHUNXXSVKXX,HUNXX,SVKXX,FALSE,FALSE,1.8,2020,2030,0,433
TRNHUNXXSVNXX,HUNXX,SVNXX,FALSE,FALSE,0,2030,2030,0,750
TRNHUNXXUKRXX,HUNXX,UKRXX,FALSE,FALSE,0.65,2020,2030,0,980
