country,iso,region_code,node,Population,Centroid_Lat,Centroid_Lon,Pop_Lat,Pop_Lon,Node_Verbose,region_description
Swaziland,SWZ,XX,SWZXX,110508,-26.5649273,31.49907242,-26.4833,31.3667,Eswatini,
Syria,SYR,XX,SYRXX,2392045,35.02410544,38.52742311,33.5131,36.2919,Syria,
Chad,TCD,XX,TCDXX,1092066,15.36433172,18.66699668,12.11,15.05,Chad,
Togo,TGO,XX,TGOXX,837437,8.536100008,0.979342961,6.1319,1.2228,Togo,
Thailand,THA,CE,THACE,18007000,13.84234419,100.5135644,13.7525,100.4942,Thailand,
Thailand,THA,NO,THANO,1198000,16.92191739,101.4207584,18.7953,98.9986,Thailand,
Thailand,THA,SO,THASO,159130,8.10128579,99.77480532,7.0167,100.4667,Thailand,
Tajikistan,TJK,XX,TJKXX,863400,38.52714131,71.03844325,38.5367,68.78,Tajikistan,
Turkmenistan,TKM,XX,TKMXX,828100,39.19174394,59.18221565,37.95,58.3833,Turkmenistan,
Timor-Leste (East Timor),TLS,XX,TLSXX,222323,-8.797136498,125.9461133,-8.5536,125.5783,Timor-Leste,
Tunisia,TUN,XX,TUNXX,1056247,34.11186824,9.573402185,36.8064,10.1817,Tunisia,
Turkey,TUR,XX,TURXX,16079000,38.98806237,35.4354723,41.0136,28.955,Turkey,
Taiwan,TWN,XX,TWNXX,9078000,23.75268312,120.9747709,25.0375,121.5625,Taiwan,
Tanzania,TZA,XX,TZAXX,7962000,-6.266843889,34.80959758,-6.8161,39.2803,Tanzania,
Uganda,UGA,XX,UGAXX,1680600,1.516233214,32.33288847,0.3136,32.5811,Uganda,
Ukraine,UKR,XX,UKRXX,2963199,49.00834161,31.40576366,50.45,30.5233,Ukraine,
Uruguay,URY,XX,URYXX,1719453,-32.79622178,-56.01834601,-34.8836,-56.1819,Uruguay,
United States,USA,AK,USAAK,292545,61.1508,-149.1091,61.1508,-149.1091,USA - Alaska,
United States,USA,NY,USANY,18972871,40.6943,-73.9249,40.6943,-73.9249,USA - NY-NYIS,Balancing Authority: New York Independent System Operator
United States,USA,LD,USALD,12121244,34.1141,-118.4068,34.1141,-118.4068,USA - CAL-LDWP,Balancing Authority: Los Angeles Department of Water and Power
United States,USA,PJ,USAPJ,8595181,41.8375,-87.6866,41.8375,-87.6866,USA - MIDA-PJM,"Balancing Authority: PJM Interconnection, LLC"
United States,USA,ER,USAER,5668165,32.7935,-96.7667,32.7935,-96.7667,USA - TEX-ERCO,"Balancing Authority: Electric Reliability Council of Texas, Inc."
United States,USA,SO,USASO,5046555,33.7628,-84.422,33.7628,-84.422,USA - SE-SOCO,"Balancing Authority: Southern Company Services, Inc. - Trans"
United States,USA,IS,USAIS,4208580,42.3188,-71.0852,42.3188,-71.0852,USA - NE-ISNE,Balancing Authority: ISO New England
United States,USA,SR,USASR,4047095,33.5722,-112.0892,33.5722,-112.0892,USA - SW-SRP,Balancing Authority: Salt River Project Agricultural Improvement and Power District
United States,USA,MI,USAMI,3522856,42.3834,-83.1024,42.3834,-83.1024,USA - MIDW-MISO,"Balancing Authority: Midcontinent Independent System Operator, Inc."
United States,USA,SL,USASL,3438221,47.6211,-122.3244,47.6211,-122.3244,USA - NW-SCL,Balancing Authority: Seattle City Light
United States,USA,CI,USACI,3290197,37.7558,-122.4449,37.7558,-122.4449,USA - CAL-CISO,Balancing Authority: California Independent System Operator
United States,USA,TC,USATC,2683956,27.9945,-82.4447,27.9945,-82.4447,USA - FLA-TEC,Balancing Authority: Tampa Electric Company
United States,USA,PO,USAPO,2650725,39.762,-104.8758,39.762,-104.8758,USA - NW-PSCO,Balancing Authority: Public Service Company of Colorado
United States,USA,NE,USANE,2150373,36.2333,-115.2654,36.2333,-115.2654,USA - NW-NEVP,Balancing Authority: Nevada Power Company
